city_country,city,country,lat,lon,elevation_m,fetched_at
Scotland|Aberdeen,Aberdeen,Scotland,57.14369,-2.09814,13.0,2026-07-20T01:03:06.704370+00:00
Cyprus|Larnaca,Larnaca,Cyprus,34.9221,33.62794,24.0,2026-07-20T01:03:06.704370+00:00
Poland|Warsaw,Warsaw,Poland,52.22977,21.01178,113.0,2026-07-20T01:03:06.704370+00:00
Slovenia|Celje,Celje,Slovenia,46.23092,15.26044,240.0,2026-07-20T01:03:06.704370+00:00
Poland|Sosnowiec,Sosnowiec,Poland,50.28682,19.10385,256.0,2026-07-20T01:03:06.704370+00:00
None|Dublin,Dublin,,53.33306,-6.24889,17.0,2026-07-20T01:03:06.704370+00:00
Slovakia|Bratislava,Bratislava,Slovakia,48.14816,17.10674,157.0,2026-07-20T01:03:06.704370+00:00
Netherlands|Alkmaar,Alkmaar,Netherlands,52.63167,4.74861,5.0,2026-07-20T01:03:06.704370+00:00
Sweden|Göteborg,Göteborg,Sweden,57.70716,11.96679,10.0,2026-07-20T01:03:06.704370+00:00
Iceland|Reykjavik,Reykjavik,Iceland,64.13548,-21.89541,37.0,2026-07-20T01:03:06.704370+00:00
Kosovo|Prishtina,Prishtina,Kosovo,,,,2026-07-20T01:03:06.704370+00:00
North Macedonia|Skopje,Skopje,North Macedonia,41.99646,21.43141,247.0,2026-07-20T01:03:06.704370+00:00
Austria|Wien,Wien,Austria,39.66086,-92.78436,251.0,2026-07-20T01:03:06.704370+00:00
Poland|Krakow,Krakow,Poland,50.06143,19.93658,219.0,2026-07-20T01:03:06.704370+00:00
Romania|Craiova,Craiova,Romania,44.31667,23.8,105.0,2026-07-20T01:03:06.704370+00:00
Malta|Attard,Attard,Malta,35.88967,14.4425,69.0,2026-07-20T01:03:06.704370+00:00
Gibraltar|Gibraltar,Gibraltar,Gibraltar,36.14474,-5.35257,11.0,2026-07-20T01:03:06.704370+00:00
Türkiye|Samsun,Samsun,Türkiye,41.27976,36.3361,64.0,2026-07-20T01:03:06.704370+00:00
Czechia|Olomouc,Olomouc,Czechia,49.59552,17.25175,223.0,2026-07-20T01:03:06.704370+00:00
Croatia|Rijeka,Rijeka,Croatia,45.32673,14.44241,12.0,2026-07-20T01:03:06.704370+00:00
